date,4G(GB),5G(GB)
2015/09/21,41641.81,41641.81
2015/09/24,43328.38,43328.38
2015/09/25,44461.46,44461.46
2015/09/26,44688.28,44688.28
2015/09/27,45888.61,45888.61
2015/09/28,42498.67,42498.67
2015/09/29,45252.89,45252.89
2015/09/30,51111.84,51111.84
2015/10/01,51916.34,51916.34
2015/10/02,51884.26,51884.26
2015/10/04,53784.47,53784.47
2015/10/05,51869.59,51869.59
2015/10/06,49111.84,49111.84
2015/10/07,49163.82,49163.82
2015/10/08,51671.17,51671.17
2015/10/09,51286.31,51286.31
2015/10/10,51228.42,51228.42
2015/10/11,50542.4,50542.4
2015/10/12,50848.94,50848.94
2015/10/13,51295.42,51295.42
2015/10/14,51240.1,51240.1
2015/10/15,51311.12,51311.12
2015/10/16,52031.19,52031.19
2015/10/17,51227.75,51227.75
2015/10/18,49443.47,49443.47
2015/10/19,49430.37,49430.37
2015/10/20,50335.1,50335.1
2015/10/21,51914.57,51914.57
2015/10/22,52591.14,52591.14
2015/10/23,52591.04,52591.04
2015/10/24,53839.45,53839.45
2015/10/25,52330.55,52330.55
2015/10/26,51291.95,51291.95
2015/10/27,52461.22,52461.22
2015/10/28,52753.06,52753.06
2015/10/29,53340.82,53340.82
2015/10/30,55023.74,55023.74
2015/10/31,59149.17,59149.17
2015/11/01,60972.31,60972.31
2015/11/02,58901.46,58901.46
2015/11/03,61982.16,61982.16
2015/11/04,65151.31,65151.31
2015/11/05,70022.91,70022.91
2015/11/06,65829.26,65829.26
2015/11/07,66019.71,66019.71
2015/11/08,62981.51,62981.51
2015/11/09,62601.6,62601.6
2015/11/10,73030.08,73030.08
2015/11/11,83731.12,83731.12
2015/11/12,66582.64,66582.64
2015/11/13,65673.94,65673.94
2015/11/14,67482.91,67482.91
2015/11/15,64354.23,64354.23
2015/11/16,62927.69,62927.69
2015/11/17,64720.92,64720.92
2015/11/18,64570.53,64570.53
2015/11/19,65726.95,65726.95
2015/11/20,66713.18,66713.18
2015/11/21,66180.6,66180.6
2015/11/22,64631.75,64631.75
2015/11/23,62694.65,62694.65
2015/11/24,65112.35,65112.35
2015/11/25,65408.72,65408.72
2015/11/26,66056.45,66056.45
2015/11/27,65521.44,65521.44
2015/11/28,67704.6,67704.6
2015/11/29,66672.87,66672.87
2015/11/30,69307.67,69307.67
2015/12/01,73245.45,73245.45
2015/12/02,74335.72,74335.72
2015/12/03,76483.44,76483.44
2015/12/17,74554.01,74554.01
2015/12/18,76396.78,76396.78
2015/12/19,76482.4,76482.4
2015/12/20,76384.92,76384.92
2015/12/21,77473.66,77473.66
2015/12/22,80076.96,80076.96
2015/12/23,82250.85,82250.85
2015/12/24,85195.4,85195.4
2015/12/25,84564.79,84564.79
